idx,raw,simplified
0,'tench',tench
1,'goldfish',goldfish
2,'great white shark',great_white_shark
3,'tiger shark',tiger_shark
4,'hammerhead',hammerhead
5,'electric ray',electric_ray
6,'stingray',stingray
7,'cock',cock
8,'hen',hen
9,'ostrich',ostrich
10,'brambling',brambling
11,'goldfinch',goldfinch
12,'house finch',house_finch
13,'junco',junco
14,'indigo bunting',indigo_bunting
15,'robin',robin
16,'bulbul',bulbul
17,'jay',jay
18,'magpie',magpie
19,'chickadee',chickadee
20,'water ouzel',water_ouzel
21,'kite',kite
22,'bald eagle',bald_eagle
23,'vulture',vulture
24,'great grey owl',great_grey_owl
25,'European fire salamander',european_fire_salamander
26,'common newt',common_newt
27,'eft',eft
28,'spotted salamander',spotted_salamander
29,'axolotl',axolotl
30,'bullfrog',bullfrog
31,'tree frog',tree_frog
32,'tailed frog',tailed_frog
33,'loggerhead',loggerhead
34,'leatherback turtle',leatherback_turtle
35,'mud turtle',mud_turtle
36,'terrapin',terrapin
37,'box turtle',box_turtle
38,'banded gecko',banded_gecko
39,'common iguana',common_iguana
40,'American chameleon',american_chameleon
41,'whiptail',whiptail
42,'agama',agama
43,'frilled lizard',frilled_lizard
44,'alligator lizard',alligator_lizard
45,'Gila monster',gila_monster
46,'green lizard',green_lizard
47,'African chameleon',african_chameleon
48,'Komodo dragon',komodo_dragon
49,'African crocodile',african_crocodile
50,'American alligator',american_alligator
51,'triceratops',triceratops
52,'thunder snake',thunder_snake
53,'ringneck snake',ringneck_snake
54,'hognose snake',hognose_snake
55,'green snake',green_snake
56,'king snake',king_snake
57,'garter snake',garter_snake
58,'water snake',water_snake
59,'vine snake',vine_snake
60,'night snake',night_snake
61,'boa constrictor',boa_constrictor
62,'rock python',rock_python
63,'Indian cobra',indian_cobra
64,'green mamba',green_mamba
65,'sea snake',sea_snake
66,'horned viper',horned_viper
67,'diamondback',diamondback
68,'sidewinder',sidewinder
69,'trilobite',trilobite
70,'harvestman',harvestman
71,'scorpion',scorpion
72,'black and gold garden spider',black_and_gold_garden_spider
73,'barn spider',barn_spider
74,'garden spider',garden_spider
75,'black widow',black_widow
76,'tarantula',tarantula
77,'wolf spider',wolf_spider
78,'tick',tick
79,'centipede',centipede
80,'black grouse',black_grouse
81,'ptarmigan',ptarmigan
82,'ruffed grouse',ruffed_grouse
83,'prairie chicken',prairie_chicken
84,'peacock',peacock
85,'quail',quail
86,'partridge',partridge
87,'African grey',african_grey
88,'macaw',macaw
89,'sulphur-crested cockatoo',sulphurcrested_cockatoo
90,'lorikeet',lorikeet
91,'coucal',coucal
92,'bee eater',bee_eater
93,'hornbill',hornbill
94,'hummingbird',hummingbird
95,'jacamar',jacamar
96,'toucan',toucan
97,'drake',drake
98,'red-breasted merganser',redbreasted_merganser
99,'goose',goose
100,'black swan',black_swan
101,'tusker',tusker
102,'echidna',echidna
103,'platypus',platypus
104,'wallaby',wallaby
105,'koala',koala
106,'wombat',wombat
107,'jellyfish',jellyfish
108,'sea anemone',sea_anemone
109,'brain coral',brain_coral
110,'flatworm',flatworm
111,'nematode',nematode
112,'conch',conch
113,'snail',snail
114,'slug',slug
115,'sea slug',sea_slug
116,'chiton',chiton
117,'chambered nautilus',chambered_nautilus
118,'Dungeness crab',dungeness_crab
119,'rock crab',rock_crab
120,'fiddler crab',fiddler_crab
121,'king crab',king_crab
122,'American lobster',american_lobster
123,'spiny lobster',spiny_lobster
124,'crayfish',crayfish
125,'hermit crab',hermit_crab
126,'isopod',isopod
127,'white stork',white_stork
128,'black stork',black_stork
129,'spoonbill',spoonbill
130,'flamingo',flamingo
131,'little blue heron',little_blue_heron
132,'American egret',american_egret
133,'bittern',bittern
134,'crane bird',crane_bird
135,'limpkin',limpkin
136,'European gallinule',european_gallinule
137,'American coot',american_coot
138,'bustard',bustard
139,'ruddy turnstone',ruddy_turnstone
140,'red-backed sandpiper',redbacked_sandpiper
141,'redshank',redshank
142,'dowitcher',dowitcher
143,'oystercatcher',oystercatcher
144,'pelican',pelican
145,'king penguin',king_penguin
146,'albatross',albatross
147,'grey whale',grey_whale
148,'killer whale',killer_whale
149,'dugong',dugong
150,'sea lion',sea_lion
151,'Chihuahua',chihuahua
152,'Japanese spaniel',japanese_spaniel
153,'Maltese dog',maltese_dog
154,'Pekinese',pekinese
155,'Shih-Tzu',shihtzu
156,'Blenheim spaniel',blenheim_spaniel
157,'papillon',papillon
158,'toy terrier',toy_terrier
159,'Rhodesian ridgeback',rhodesian_ridgeback
160,'Afghan hound',afghan_hound
161,'basset',basset
162,'beagle',beagle
163,'bloodhound',bloodhound
164,'bluetick',bluetick
165,'black-and-tan coonhound',blackandtan_coonhound
166,'Walker hound',walker_hound
167,'English foxhound',english_foxhound
168,'redbone',redbone
169,'borzoi',borzoi
170,'Irish wolfhound',irish_wolfhound
171,'Italian greyhound',italian_greyhound
172,'whippet',whippet
173,'Ibizan hound',ibizan_hound
174,'Norwegian elkhound',norwegian_elkhound
175,'otterhound',otterhound
176,'Saluki',saluki
177,'Scottish deerhound',scottish_deerhound
178,'Weimaraner',weimaraner
179,'Staffordshire bullterrier',staffordshire_bullterrier
180,'American Staffordshire terrier',american_staffordshire_terrier
181,'Bedlington terrier',bedlington_terrier
182,'Border terrier',border_terrier
183,'Kerry blue terrier',kerry_blue_terrier
184,'Irish terrier',irish_terrier
185,'Norfolk terrier',norfolk_terrier
186,'Norwich terrier',norwich_terrier
187,'Yorkshire terrier',yorkshire_terrier
188,'wire-haired fox terrier',wirehaired_fox_terrier
189,'Lakeland terrier',lakeland_terrier
190,'Sealyham terrier',sealyham_terrier
191,'Airedale',airedale
192,'cairn',cairn
193,'Australian terrier',australian_terrier
194,'Dandie Dinmont',dandie_dinmont
195,'Boston bull',boston_bull
196,'miniature schnauzer',miniature_schnauzer
197,'giant schnauzer',giant_schnauzer
198,'standard schnauzer',standard_schnauzer
199,'Scotch terrier',scotch_terrier
200,'Tibetan terrier',tibetan_terrier
201,'silky terrier',silky_terrier
202,'soft-coated wheaten terrier',softcoated_wheaten_terrier
203,'West Highland white terrier',west_highland_white_terrier
204,'Lhasa',lhasa
205,'flat-coated retriever',flatcoated_retriever
206,'curly-coated retriever',curlycoated_retriever
207,'golden retriever',golden_retriever
208,'Labrador retriever',labrador_retriever
209,'Chesapeake Bay retriever',chesapeake_bay_retriever
210,'German short-haired pointer',german_shorthaired_pointer
211,'vizsla',vizsla
212,'English setter',english_setter
213,'Irish setter',irish_setter
214,'Gordon setter',gordon_setter
215,'Brittany spaniel',brittany_spaniel
216,'clumber',clumber
217,'English springer',english_springer
218,'Welsh springer spaniel',welsh_springer_spaniel
219,'cocker spaniel',cocker_spaniel
220,'Sussex spaniel',sussex_spaniel
221,'Irish water spaniel',irish_water_spaniel
222,'kuvasz',kuvasz
223,'schipperke',schipperke
224,'groenendael',groenendael
225,'malinois',malinois
226,'briard',briard
227,'kelpie',kelpie
228,'komondor',komondor
229,'Old English sheepdog',old_english_sheepdog
230,'Shetland sheepdog',shetland_sheepdog
231,'collie',collie
232,'Border collie',border_collie
233,'Bouvier des Flandres',bouvier_des_flandres
234,'Rottweiler',rottweiler
235,'German shepherd',german_shepherd
236,'Doberman',doberman
237,'miniature pinscher',miniature_pinscher
238,'Greater Swiss Mountain dog',greater_swiss_mountain_dog
239,'Bernese mountain dog',bernese_mountain_dog
240,'Appenzeller',appenzeller
241,'EntleBucher',entlebucher
242,'boxer',boxer
243,'bull mastiff',bull_mastiff
244,'Tibetan mastiff',tibetan_mastiff
245,'French bulldog',french_bulldog
246,'Great Dane',great_dane
247,'Saint Bernard',saint_bernard
248,'Eskimo dog',eskimo_dog
249,'malamute',malamute
250,'Siberian husky',siberian_husky
251,'dalmatian',dalmatian
252,'affenpinscher',affenpinscher
253,'basenji',basenji
254,'pug',pug
255,'Leonberg',leonberg
256,'Newfoundland',newfoundland
257,'Great Pyrenees',great_pyrenees
258,'Samoyed',samoyed
259,'Pomeranian',pomeranian
260,'chow',chow
261,'keeshond',keeshond
262,'Brabancon griffon',brabancon_griffon
263,'Pembroke',pembroke
264,'Cardigan',cardigan
265,'toy poodle',toy_poodle
266,'miniature poodle',miniature_poodle
267,'standard poodle',standard_poodle
268,'Mexican hairless',mexican_hairless
269,'timber wolf',timber_wolf
270,'white wolf',white_wolf
271,'red wolf',red_wolf
272,'coyote',coyote
273,'dingo',dingo
274,'dhole',dhole
275,'African hunting dog',african_hunting_dog
276,'hyena',hyena
277,'red fox',red_fox
278,'kit fox',kit_fox
279,'Arctic fox',arctic_fox
280,'grey fox',grey_fox
281,'tabby',tabby
282,'tiger cat',tiger_cat
283,'Persian cat',persian_cat
284,'Siamese cat',siamese_cat
285,'Egyptian cat',egyptian_cat
286,'cougar',cougar
287,'lynx',lynx
288,'leopard',leopard
289,'snow leopard',snow_leopard
290,'jaguar',jaguar
291,'lion',lion
292,'tiger',tiger
293,'cheetah',cheetah
294,'brown bear',brown_bear
295,'American black bear',american_black_bear
296,'ice bear',ice_bear
297,'sloth bear',sloth_bear
298,'mongoose',mongoose
299,'meerkat',meerkat
300,'tiger beetle',tiger_beetle
301,'ladybug',ladybug
302,'ground beetle',ground_beetle
303,'long-horned beetle',longhorned_beetle
304,'leaf beetle',leaf_beetle
305,'dung beetle',dung_beetle
306,'rhinoceros beetle',rhinoceros_beetle
307,'weevil',weevil
308,'fly',fly
309,'bee',bee
310,'ant',ant
311,'grasshopper',grasshopper
312,'cricket',cricket
313,'walking stick',walking_stick
314,'cockroach',cockroach
315,'mantis',mantis
316,'cicada',cicada
317,'leafhopper',leafhopper
318,'lacewing',lacewing
319,'dragonfly',dragonfly
320,'damselfly',damselfly
321,'admiral',admiral
322,'ringlet',ringlet
323,'monarch',monarch
324,'cabbage butterfly',cabbage_butterfly
325,'sulphur butterfly',sulphur_butterfly
326,'lycaenid',lycaenid
327,'starfish',starfish
328,'sea urchin',sea_urchin
329,'sea cucumber',sea_cucumber
330,'wood rabbit',wood_rabbit
331,'hare',hare
332,'Angora',angora
333,'hamster',hamster
334,'porcupine',porcupine
335,'fox squirrel',fox_squirrel
336,'marmot',marmot
337,'beaver',beaver
338,'guinea pig',guinea_pig
339,'sorrel',sorrel
340,'zebra',zebra
341,'hog',hog
342,'wild boar',wild_boar
343,'warthog',warthog
344,'hippopotamus',hippopotamus
345,'ox',ox
346,'water buffalo',water_buffalo
347,'bison',bison
348,'ram',ram
349,'bighorn',bighorn
350,'ibex',ibex
351,'hartebeest',hartebeest
352,'impala',impala
353,'gazelle',gazelle
354,'Arabian camel',arabian_camel
355,'llama',llama
356,'weasel',weasel
357,'mink',mink
358,'polecat',polecat
359,'black-footed ferret',blackfooted_ferret
360,'otter',otter
361,'skunk',skunk
362,'badger',badger
363,'armadillo',armadillo
364,'three-toed sloth',threetoed_sloth
365,'orangutan',orangutan
366,'gorilla',gorilla
367,'chimpanzee',chimpanzee
368,'gibbon',gibbon
369,'siamang',siamang
370,'guenon',guenon
371,'patas',patas
372,'baboon',baboon
373,'macaque',macaque
374,'langur',langur
375,'colobus',colobus
376,'proboscis monkey',proboscis_monkey
