tusks crossing
trunk reaching
grazing stance
elephant tracks
large ears
swaying tail
herd together
mighty presence
dusty ground
grassland habitat
waterhole splash
playful calf
muddy water
gentle eyes
thick legs
afternoon shade
barking sound
towering stature
rocky terrain
wrinkled skin
acacia trees
palm leaves
dried branches
shaded underbrush
sunset silhouette
feeding behavior
grazing posture
elephant silhouette
dark tusk
trampled grass
rocky outcrop
snagged roots
muddy footprints
circular pond
swamp vegetation
leafy canopy
tall grasses
wet riverbanks
serene lakeside
wide shadows
dust devils
twisted branches
misty morning
gravel path
sunlit meadow
weathered landscape
wildflower patches
distant mountains
tree bark texture
twisted tusks
trunk curl
herd movement
blemished hide
branch snapping
calf playtime
large footprint
rocky bank
crossing stream
horizon line
gentle slope
lush thicket
wild mango
sandy terrain
monochrome shade
soft earth
skin texture
muddy bank
padded feet
sharp silhouettes
green foliage
dirt path
sparse vegetation
overgrown grass
curved tusks
long tusk
wide stance
thick trunk
broad snout
deep wrinkles
hard ground
massive shadow
tall bush
twisted roots
grazing grass
hidden eyes
quiet oasis
muddy trail
sunny clearing
silhouetted form
soft light
dense underbrush
lush greenery
water reflection
cracked skin
evening dusk
vine-covered tree
scattered rocks
colorful flowers
twisted trunk
muddy patches
