white plumage
sea birds
dark beak
large wingspan
natural habitat
ocean breeze
flying high
nesting ground
gliding over water
light feathers
fishing behavior
windy day
isolated islands
calm seas
sharp eyesight
webbed feet
sea spray
tidal pools
sandy beach
distant horizon
rocky cliff
cloudy sky
sharp talons
hooked bill
wing span
long tail
soaring above
pale underbelly
soft down
feather edges
nesting materials
ocean mist
sea foam
distant shoreline
dark ocean
flowing silhouette
winding currents
rocky outcrops
floating clouds
bright eyes
overcast sky
sunset horizon
drifting feathers
darting motions
floating driftwood
lone figure
stretched limbs
windy gusts
silvery scales
glossy surface
ocean horizon
pale sky
aerial dance
dynamic shapes
sweeping arcs
crisp outlines
crashing surf
gentle ripples
sandy textures
soft silhouettes
cloud formations
long shadows
weathered rocks
sunlit waves
vibrant sky
dappled shadows
graceful glide
distant wingbeats
soft contrasts
open waters
wing tips
dark waters
coastal vegetation
glassy surface
smooth currents
distant islands
natural formations
dynamic waves
isolated beaches
dramatic coastlines
curved horizons
flying shadows
misty distance
ocean depths
light reflections
windy skies
rough textures
angular silhouette
sunlit trails
wide beak
broad surface
dark feathers
soft horizon
fishing line
scanning horizons
still waters
elegant arcs
blue depths
ocean reflections
floating kelp
