conductor cabin
railway tracks
traction motors
electric pantograph
streamlined shape
thick wheels
safety signals
metallic grille
large headlights
cargo compartment
industrial setting
suspension system
dynamic movement
colored stripes
vibrant paint job
shiny metal body
bright taillights
smokestack design
control panel
circular windows
power lines
exterior signage
large bogies
heavy chassis
sleek profile
streamlined nose
color contrast
iron beams
shiny wheels
safety bumpers
suspension cables
rubber seals
panel sections
reflective surfaces
curved frame
ventilation grilles
metallic rivets
cylindrical fuel tanks
circular headlights
dense wiring
painted logos
glass panels
reinforced joints
angled roof
grid patterns
frosted glass
massive bogies
platform scenery
trackside signals
long coal car
overhead lines
hollow chassis
aerodynamic front
foreshortened view
heavy-duty wheels
rear view
large pantographs
side vents
high voltage markings
metallic body
grimy underside
distinctive shape
sharp angles
flat top
angular structure
steel couplings
cable connections
safety shields
window frames
weathered surface
painted doors
detailed bogies
catenary system
broad platform
suspended axles
glistening rails
safety rails
distinctive paint
overhead clearance
wide stance
longitudinal seams
cable routing
continuous lights
interior cab
operational controls
decoration stripes
clear windows
interlocking joints
tool compartment
power connectors
weatherproof coverings
fiber optic lights
roof access
large axles
bulkhead design
sleek lines
detailed couplers
iron framework
metallic undercarriage
angled chassis
