pumper truck
fire station
emergency response
firefighter gear
strobe beacon
open cab
truck chassis
road action
stationary position
upper deck
smoke plume
water hose
bright decals
red paint
vehicle silhouette
flashing lights
metal ladder
chrome accents
tool compartments
siren sound
black tires
circular wheels
reflective surface
yellow crosswalk
siren housing
large cab
heavy chassis
flat hood
rigid step
sturdy bumper
engine compartment
front grill
back panel
containment box
exterior rivets
tread patterns
angular design
solid frame
gripped handles
sharp lights
side mirror
metallic rims
painted surface
contrast stripes
open windows
circular lights
polygonal shapes
textured rubber
heavy duty
siren mount
safety stripes
angled hood
front bumper
wheel arch
side panel
raised platform
reflective panel
open compartment
painted emblem
rear axle
suspension system
sturdy ladder
bright logo
black grill
safety barrier
flat surface
rubber mat
large doors
textured grips
triangular sign
tool rack
curved cabin
fire pump
cab support
hose connection
vented hood
crimson paint
cargo area
metallic ladder
support struts
digital display
safety cones
back nozzle
platform edge
reinforced frame
attached tools
circular tank
cylinder mounts
lower body
arched roof
dashed lines
massive hooks
brass fittings
angled steps
external speakers
extended ladder
tall cab
siren system
active hoses
emergency lights
