tail wagging
friendly demeanor
pointed ears
alert expression
long legs
leash in mouth
playful posture
focused gaze
bounding motion
brown spots
curved tail
canine teeth
standing still
water bowl
sleek body
short coat
white fur
open field
sunset light
outdoor setting
dirt path
playful chase
tan and white
narrow muzzle
twitching nose
quiet alertness
wide paws
hunting posture
bushy tail
candid moment
stern glance
jumpy leap
barking sound
sandy ground
soft shadow
active stance
tall stature
spotted pattern
lean physique
elegant lines
sunlit fur
sharp contours
fine texture
dappled sunlight
running legs
dry brush
bright collar
alert stance
sandy coat
soft ground
curved body
smooth outline
textured ears
natural habitat
stoic posture
broad forehead
warm sunlight
oval eyes
sunny backdrop
open space
wavy fur
rough terrain
pointed silhouette
slender limbs
vibrant shadows
shimmering coat
bright skyline
lean contours
swaying grass
distant hills
long neck
sharp gaze
playful leap
flat back
pointed tail
white paws
soft ears
short snout
perky stance
yellow collar
friendly face
dark markings
thin whiskers
sharp angles
thin frame
shiny coat
wide mouth
fluffy tail
smooth legs
clean lines
bright eyes
broad chest
narrow waist
curved spine
playful expression
jumpy demeanor
floppy ears
crouched position
stony ground
whiskered nose
