preening behavior
orange beak
white belly
standing upright
flipper wings
estimated height
groups huddling
nesting site
yellow patches
ice floes
chick care
southern hemisphere
fluffy down
parent feeding
black feathers
sunlit exposure
cold ocean
swimming motion
soft undercoat
sandy shore
beach entry
snowy landscape
rocky cliffs
rounded beak
dark plumage
shiny eyes
curved neck
orange throat
broad shoulders
social interactions
sound signaling
tall stature
glossy head
slate grey
family bonding
smooth skin
serene setting
stony beach
harsh winds
dramatic poses
webbed feet
gentle waves
warm sunlight
feather details
green algae
slender silhouette
curved beak
natural habitat
nesting area
vibrant plumage
bold contrast
serene poses
gentle current
playful dive
sandy substrate
breezy shore
icebergs nearby
underwater glide
craggy outcrop
soft shadows
gleaming surface
frozen landscape
distant horizon
harsh sunlight
windy plains
shimmering water
tropical backdrop
tall grasses
iridescent waves
long flippers
glossy plumage
smooth stone
soft underbelly
murky depths
jagged ice
dark wings
bright crest
rocky sand
gentle slope
sandy patches
circular eye
curved shore
vibrant backdrop
large shadow
vivid orange
bubbly foam
distant silhouette
bright sunlight
sepia tone
light reflection
misty weather
tattered netting
bright beak
sizing up
bold markings
frigid air
wet feathers
frothy surf
barren ice
smooth pebbles
