open trap
sliding catch
resistant material
rat bait
mechanical action
wooden base
spring mechanism
spring-loaded action
adjustable tension
pin placeholder
sensitive lever
safety latch
metal trigger
plastic casing
stainless steel
bait placement
feeder hole
entrapment design
trigger sensitivity
caution label
closed jaws
bait holder
metal base
flat base
retaining clip
snap mechanism
slip-resistant pad
mechanical pivot
adjustable arm
plastic handle
fishing wire
tight closure
rusty spring
metal rivet
angular shape
tiny teeth
small footprint
trigger point
minimalist design
thin metal surface
edge profile
circular design
camouflage pattern
trap surface
compact size
spring tension
gripped handle
snap closure
metal frame
action pivot
lever design
curved edges
heavy-duty wire
anti-slip grip
finely serrated edge
pivot point
decorative accents
tension rod
precision trigger
raised platform
detailing grooves
broad base
detailed texture
multicolored finish
catching jaws
catching mechanism
spring attachment
trap structure
operational lever
sturdy wire
fine grating
snap action
supporting arm
safety warning
reinforced base
ergonomic grip
platform surface
rigid framework
tighten screw
coil spring
hinged entry
compact hosting
circular foot
color contrast
intricate mesh
metallic sheen
safeguard edge
release catch
holding mechanism
motion trigger
clever design
reinforcing bracket
tension area
bait slot
angled support
binding edge
woven wire
cross-sectional view
catching area
deterrent feature
