held hammer
metal shaft
sharp point
hammer strike
long stem
steel color
drilled hole
pointed end
shiny tip
strain resistance
curved edge
rusty finish
driven wood
quick movement
embedded surface
wood grain
array pack
dried paint
toolbox context
flat head
plastic casing
yellow polish
screw crossover
hardened tip
hammer grip
mechanical fastening
conductive material
surface abrasion
wooden base
cross section
metallic sheen
precision alignment
clamp pressure
beveled edges
hexagonal shape
cracked finish
dimensional view
driving force
installation context
rusted exterior
layered design
enclosed space
vibrant colors
single piece
angled tip
textured grip
punctured surface
cylindrical shape
rusty appearance
slender form
thin profile
linear arrangement
flat surface
straight alignment
straight edge
dark finish
monochrome color
metallic reflection
modest size
industrial context
dark shadow
bright highlight
minimalist aesthetic
subtle gradient
tiny scale
tiny details
smooth lines
dimensional depth
rough edge
twisted design
displayed objects
subtle shine
handmade craft
broken pieces
overlapping forms
simple patterns
organic texture
delicate curves
contrast highlights
natural light
soft shadow
neutral tones
patterned layers
minimalist graphics
soft gradients
colorful paint
clean cut
fingertip focus
decorative elements
curved shape
textured finish
glossy appearance
manicure tools
grooming process
natural environment
lush backdrop
cosmetic application
studio lighting
care routine
soft colors
