long beak
juvenile plumage
graceful glide
stretching wings
coastal habitat
preening feathers
white feathers
group flocking
nesting site
floating on water
fishing activity
sharp eyes
dive posture
sand beach
webbed feet
blue sky
dark shadow
bright sunlight
orange pouch
water ripples
cloudy backdrop
sunset silhouette
bright plumage
wing span
natural habitat
sunlit feathers
pausing moment
island vista
crystal clear
sandy inlet
calm reflection
flowing current
reeds swaying
serene lake
gentle waves
water droplet
ruffled skin
distant horizon
aquatic plants
minimalist frame
silhouetted shape
riverbank perch
rocky outcrop
drifting clouds
grassy marsh
tangled branches
vibrant plumage
large bill
nest building
feeding frenzy
dive angle
paddle strokes
thick neck
fishing grounds
colorful bill
wings folded
fishing net
smooth surface
green algae
tall reeds
water splash
sunlit water
shimmering scales
soft sand
graceful arch
coastal rocks
swirling currents
plumage contrast
wet feathers
soaring height
broad stance
beak opening
gentle breeze
wing flaps
dynamic movement
pale underbelly
swimming posture
fishing dive
wetland margins
curved neck
peak display
large eyes
open mouth
soft shadows
splash zone
tangled reeds
earthy tones
slippery rocks
turbulent waters
dappled sunlight
beaks touching
wide wingspan
wing feathers
coastal breeze
natural colors
serene bay
fishing catch
fishing spot
floating debris
reflective surface
