extended buttstock
metal scope
shooting range
casing ejection
bullet chamber
trigger mechanism
forward grip
sight alignment
muzzle flash
night vision attachment
trigger finger
wooden stock
shiny finish
barrel shape
black matte finish
magazine clip
camouflage pattern
military uniform
elevated stance
elevation adjustments
sandbag rest
iron sights
tactical grip
crosshair view
action shot
long barrel
cylindrical body
military training
sharp edges
smooth lines
finger guard
dual tone
rusty finish
slow motion
flat magazine
steel frame
angular shape
grazing light
arctic environment
hiking trail
wooden texture
grassy field
nighttime setting
adjustable stock
long scope
firing stance
bipod stand
muzzle cover
tactical gear
foregrip texture
protective casing
loading mechanism
prone position
precision alignment
sling strap
crafted metal
sight elevation
smooth barrel
vented shroud
glossy finish
aerial view
field conditions
weathered finish
soft lighting
powder residue
sustainability marks
sniper position
sight mount
angled sights
bipod legs
detachable magazine
precision scope
barrel shroud
adjustable rail
ringed sight
support rest
case opening
wooden grip
carrying strap
night vision
tactical pouch
cylinder lock
barrel grooves
soft padding
metal parts
cleaning kit
hardwood finish
scoped view
low profile
sling attachment
firing pin
optic rail
clear sight
red dot sight
heavy weight
recoil pad
bullet storage
angled barrel
metallic zoom
tripod mount
