clustered acorns
small nuts
brown color
nutty flavor
rough shell
earthy tones
natural habitat
oak tree
growing roots
green leaves
forest floor
fall season
soft moss
hard exterior
woodland animals
wooden bowl
curved cap
sunlight dappling
gathering squirrels
garden planting
textured surface
fallen branches
small cap
tiny sprouts
detached shell
rounded shape
tiny insects
circular base
glistening dew
pointed tip
peeling bark
pale highlights
spring bloom
soil contrast
pale sunlight
rustic basket
buried treasure
vibrant moss
circular shadow
twisted vines
wooden table
misty morning
sunlit glade
forest backdrop
sandy texture
tiny holes
twisted roots
scattered nuts
glistening shell
soft shade
