shrine setting
tranquil ambiance
gold accents
sacred symbols
ornate carvings
candle light
ceremonial cloth
dim lighting
marble base
vegetation decor
tapestry backdrop
prayer beads
offering bowl
ritual dagger
etched patterns
incense smoke
gilded edges
colorful banners
stone surface
basalt pillars
wood grain
sacred space
natural stone
simple pedestal
ambient light
rustic elements
etched designs
ceramic tiles
wooden platform
carved edges
bright highlights
soft fabric
metal framework
minimalist design
smooth curves
dark wood
grainy surface
stone steps
surrounding foliage
faded paint
abstract shapes
angular shadows
twisted branches
candle arrangement
stone carvings
tall candlesticks
clothe drapery
sandy ground
paper offerings
wooden beams
