rescue stretcher
emergency siren
medical equipment
first aid kit
front grille
red cross symbol
roadside assistance
roof rack
side windows
sturdy chassis
white body
parking space
driving in traffic
intense graphics
reflective stripes
rear view mirrors
wide tires
dedicated lane
flashing lights
sliding door
nighttime visibility
sprayed paint
stretched frame
emergency markings
wheeled base
rear compartment
high visibility
dual wheels
extended reach
sturdy bumper
modular sections
sliding siren
curved design
powerful engine
sharp contours
air intakes
reflective surface
bright color scheme
stainless steel
clean finish
circular tires
symmetrical layout
solid frame
painted panels
angled lights
elongated profile
isotropic patterns
emergency lights
front fascia
exterior badge
