seafood platter
marine predator
colorful carapace
deep sea
clawed pincers
hard shell
dinner plate
scuttling motion
vibrant red
jointed legs
seaweed habitat
natural habitat
curved tail
aquatic environment
underwater shot
sea salt
cooking pot
wet surface
sharp antennae
rocky crevice
creamy texture
crustacean movement
retracted claws
smooth carapace
ocean current
tide pool
marine vegetation
rusty netting
shallow waters
plankton drift
color contrast
fishing trap
valley floor
pale underside
broken shells
shell fragmentation
underwater cave
submerged rocks
pair of eyes
bumpy surface
harsh shadows
shadow play
trail of bubbles
sunlight rays
stealthy approach
sharp mandibles
crimson hue
contrasting colors
glossy body
glistening shell
