yellow peel
fruit bowl
fresh cut
fruit market
soft inside
split open
overripe spots
green tips
curved shape
bent form
bunch hanging
sliced piece
juice drip
citrus contrast
ripe stage
hairy stem
tropical leaf
kitchen counter
spotted skin
shiny surface
nature setting
dirt ground
bright yellow
fruit basket
tightly packed
bent direction
smooth curve
stem end
broken stem
leafy cluster
hanging weight
overlapping layers
circular cross-section
sunlit display
lush setting
solid base
pale flesh
spherical shape
sunshine glow
dotted skin
textured surface
circular shadow
vibrant contrast
sustained curvature
hanging cluster
pale undertones
tropical vibe
faded edges
vertical lines
soft flesh
