perched on tree
long slender beak
open beak
colorful plumage
wing feathers
rainforest habitat
blue tail
branching out
yellow belly
color contrast
flying high
natural camouflage
hunting posture
tropical branches
bright underbelly
sharp eyesight
grassy area
sunlit forest
sandy soil
lively chatter
tapered tail
hovering stance
colorful habitat
fluttering wings
nesting cavity
hasty flight
dynamic landing
sprightly movement
branching limbs
color gradients
grimy logs
lush undergrowth
tangled vines
hazy dusk
rainy backdrop
earthy ground
dappled sunlight
muddy surface
slender silhouette
scattered leaves
smooth plumage
nesting material
foraging behavior
curved wings
light breeze
colorful insects
sharp claws
flight direction
ground level
earthy tones
