herd movement
grazing posture
bushy tail
brown hide
natural habitat
open plains
curved horns
calf interaction
thick fur
large hooves
muddy ground
stoic expression
alert stance
grass nibbling
backlit profile
shaggy coat
thin legs
rocky terrain
worn path
stream crossing
fast runner
dust clouds
sunset silhouette
rounded rump
tufted mane
thick muzzle
grassland contrast
broad snout
short legs
worn antlers
deep breath
grassy tuft
light dapple
gentle sway
imposing figure
sturdy frame
soft shadow
dark eyes
frozen breath
surface sheen
large nostrils
dense underbrush
muscular shoulders
meandering path
lush greenery
snowy backdrop
twisting branches
humped back
stubborn stance
majestic silhouette
