pointed beak
soft plumage
long neck
natural camouflage
nesting site
swamp habitat
croaky call
bushy reeds
low flight
hunting posture
stilt-like legs
yellow eyes
fishing behavior
quiet stillness
rippling pond
muddy bank
shallow water
sparse vegetation
reflective water
early morning mist
dappled sunlight
dark plumage
wading stance
natural perches
stalky reeds
fringed feathers
wetland edge
thick stems
silent observation
hidden branches
camouflage patterns
vertical lines
muddy toes
deep reflections
crossed legs
morning dew
flowing water
overhanging branches
sunlight dappling
soft shadows
quilt-like texture
colorful dragonflies
green foliage
blooming lotus
wildflower blooms
broad wingspan
isolated wetlands
hidden nest
glossy feathers
reeds swaying
