raw bunch
green florets
leafy greens
steamed edges
salad mix
close-up detail
garnish plate
crunchy texture
herbaceous aroma
baked dish
pickled bite
chunky pieces
vegetable garden
organic market
stalk end
cooked spears
horizontal cross-section
cutting board
child eating
nutrition chart
dipping sauce
pan-fried slices
healthy dish
pale stem
dark green hue
vibrant display
dense cluster
garden soil
steam rising
sliced cross-section
bumpy surface
potted plant
colorful plate
cheese sauce
cooking pot
handful leaves
outdoor picnic
food truck
curved silhouette
rustic kitchen
bamboo steamer
fractal pattern
fridge shelf
sunlit window
healthy garnish
nutritious meal
rough stem
green bowl
budding head
crisp edges
