rolled tortilla
served warm
spicy filling
handheld meal
large portions
side salsa
cheese blend
casual dining
grilled chicken
dipping sauce
greasy texture
colorful wrapper
tasty aroma
plated presentation
foil wrapping
sliced segments
colorful ingredients
rice grains
crumpled paper
fresh lettuce
cilantro leaves
avocado slices
diced tomatoes
steamy wrapper
wrapped tightly
unwrapped filling
dipping edge
filled core
bites taken
crunchy shell
handheld snack
folded ends
flavorful mix
bitten corner
sliced cross-section
food truck
toasted edges
square plate
round edges
soft texture
fresh aroma
colorful toppings
oval shape
casual setting
bright colors
warm interior
messy hands
eating motion
tortilla texture
citrus wedge
