taxi sign
city traffic
bumper sticker
roof rack
four wheels
vehicle shadow
license plate
pedestrian crossing
trunk space
navigation screen
safety lights
side mirror
yellow paint
gas tank cover
leather seats
curb appeal
spray paint
wheel rim
rear window
headlight glare
tinted glass
open door
city streets
side view
windshield wipers
digital display
chrome bumper
sunroof view
road signs
metal grille
floor mats
checkered pattern
air conditioning
reflective glass
backseat comfort
open trunk
rainy weather
steering wheel
tire tread
enclosed space
leather upholstery
seatbelt clip
door handle
interior lighting
folding armrest
passenger seat
yellow checkers
street fare
traffic jam
wheel arches
