iron pot
cast iron
boiling liquid
open flame
smoky steam
thick rim
blackened bottom
golden broth
cooking herbs
ceramic glaze
hearty stew
curved handle
bubbling edges
round belly
heavy base
broad mouth
vintage style
spilled liquid
kitchen countertop
wooden spoon
dark interior
rusty surface
deep bowl
casted reflections
tarnished metal
enamel finish
inverted cone
cooking station
reflective sheen
spout attachment
rounded edges
rusty patina
curved silhouette
hefty base
wooden flames
steamy vapor
lit candle
hanging chain
etched patterns
spattered paint
charred exterior
rough texture
metal clasps
dark shadows
heat resistant
cooking over
heavy lid
boiling bubbles
round rim
dancing flame
