curly florets
white clusters
fresh produce
sliced cross-section
harvest basket
market stall
dish presentation
steamed dish
salad bowl
cutting board
bumpy surface
diced pieces
cooking pot
frozen section
roasted chunks
garden soil
colorful plate
green leaves
fluffy mass
crisp bite
crispy edge
cooking steam
fuzzy bumps
cutting edge
yellow hue
simple slice
crumpled layers
dirt clumps
fresh water
white bouquet
rough terrain
kitchen countertop
natural lighting
textured surface
wrinkled skin
green stalks
glistening droplets
metal bowl
shine reflection
dark soil
scattered leaves
fresh bundle
organic shape
textured clusters
crisp edges
pale color
bulbous shape
dense arrangement
natural fibers
rough edges
