stocking hook
festive colors
festive fireplace
poinsettia design
red and white
gift wrap
candy canes
snowflakes design
sparkling ornaments
wool material
hanging decor
fluffy trim
cheerful ribbons
gingerbread cookies
stuffed toys
ornate patterns
furry cuff
felt applique
jingle bells
overstuffed seams
soft lining
hooped accents
canvas material
hanging from nail
patchwork design
embroidered stars
furry edge
embroidered initials
hanging loop
plaid fabric
reinforced bottom
satin finish
bright tassel
decorative button
chunky yarn
circular shapes
corduroy texture
cozy blanket
wooden mantel
gift tag
jingle card
holiday wreath
green garland
wrapped gifts
frosty air
red ribbon
warm glow
cocoa mug
snowy porch
ornamental tree
