hooded garment
curved drape
long hem
flowing fabric
draped silhouette
wrapped figure
subtle sheen
gathered folds
mystical aura
slender form
caster silhouette
worn edge
deep colors
rich embroidery
whimsical design
ethereal light
billowing motion
overlapping layers
surrounding darkness
ornate patterns
vibrant hues
cinematic effect
soft texture
heavy velvet
mystery figure
dark shadow
soft breeze
faint outline
hidden entrance
faded color
pale mist
glistening edges
delicate lace
green tapestry
moonlit night
weathered fabric
damp ground
dark alley
flickering flames
rough stone
metal chain
autumn leaves
twisted branches
ancient ruins
worn soil
rusty hinges
draped fabric
heavy contrast
silken textures
sheer material
