nursery decor
lying baby
soft mattress
blanket fold
safety rail
mobile hanging
diaper station
playful patterns
stylish design
cozy corner
gentle curves
floor rug
bumpers around
starry mobile
pastel colors
afternoon light
pillowed edge
painted frame
wooden slats
sturdy legs
nightlight glow
cute animals
soft padding
quiet corner
curved bars
rounded edges
simple structure
sturdy base
airy canopy
cotton weave
gentle sway
metal frame
neat assembly
serene atmosphere
dim lighting
clean lines
minimalist outline
light shadow
natural wood
pillowy cushion
cloud design
geometric shapes
dim reflection
white paint
slatted design
soft quilt
baby toys
corner placement
tiny mobile
side view
