long ovipositor
jumper legs
green exoskeleton
bent antennae
sharp wings
compound eyes
dark habitat
leafy camouflage
wooden bat
small burrow
nighttime chirping
tall grass
muddy ground
sticky pads
sandy soil
playground surface
rough terrain
twilight setting
scattered leaves
outdoor stadium
spectator crowd
sunlit field
spiky antennae
branch perch
curved wings
predator shadow
oval abdomen
quick movement
twisted stems
grass blades
padded legs
green camouflage
thin limbs
smooth body
wet leaf
muddy patch
jumping stance
detailed texture
summer evening
shaded undergrowth
damp earth
highlighted veins
sun-dappled area
scattered pebbles
floral backdrop
natural predator
thin wings
sharp legs
curled antennae
rounded abdomen
