kneading motion
rising yeast
floured board
flour dust
baking parchment
baker hands
rolled flat
baking countertop
soft ball
cinnamon swirl
golden crust
circular cut
oven heat
smooth texture
cookie cutter
pinched edge
folded layers
sprinkled herbs
pasta machine
cutting knife
pasty layer
sticky mass
doughy blob
puffy rise
cooked edges
fluffy mound
chunky clumps
shaped ball
pale color
white specks
rubbery feel
wet sheen
chewy edge
textured skin
bubbly texture
craggy top
uneven surface
stretched piece
glossy finish
pocket fold
pressed sheet
torn pieces
sifting flour
pale doughnut
sugar coating
heaped mixture
smooth ball
creamy swirl
light sprinkle
small crumb
