quacking behavior
curved beak
waddling gait
pair bonding
colorful plumage
floating on water
serene habitat
migratory flight
spotted wings
swimming posture
flicking tails
sunlit pond
nest building
shimmering colors
fluffy down
bright orange bill
bushy reeds
lake reflection
splashing water
webbed feet
grassy shoreline
overhanging branches
spotted back
still waters
gentle breeze
shallow puddle
vibrant marsh
floating debris
muddy banks
soft ripples
smooth surface
soft light
hidden nest
curled petals
sharp shadows
misty dawn
faded reeds
peeking leaves
rustling grass
drifting clouds
cracked mud
lush vegetation
wildflower blooms
tangled roots
clustered plants
dark plumage
wide stance
broad wingspan
short neck
wet feathers
