crustacean legs
claw markings
fleshy claws
aquatic predator
soft shell
barnacle cluster
sandy burrow
curved carapace
white shell
maritime colors
ocean floor
tide pools
closed pincers
muddy habitat
bleached driftwood
hiding in crevice
sea foam
coastal vegetation
underwater garden
rocky shoreline
pebbled surface
colorful patterns
sunlight reflection
open claws
crusty barnacles
smooth shell
intertidal zone
submerged habitat
floating debris
marine vegetation
creeping motion
shallow waters
hardened exoskeleton
fishing traps
wet sand
spiny antennae
scattered shells
glossy eyes
slippery stones
shimmering surface
irregular shapes
reflected light
bumpy texture
colorful rocks
dancing movement
creepy shadows
crab trap
wet glisten
ocean breeze
seaweed strands
