frothy layer
festive glass
smooth pouring
sipping enjoyment
caramel drizzle
creamy texture
whipped topping
warm atmosphere
rich consistency
toasted marshmallow
golden color
cheerful toast
sugar sprinkle
nutmeg dust
spiced aroma
winter celebration
decorative rim
cinnamon stick
mug in hand
embellished surface
holiday lights
orchard backdrop
rich froth
slightly frosted
fragrant steam
golden foam
textured cream
thick consistency
candied garnish
heavy bottom
whisking motion
cinnamon cloud
clear glass
frosted jug
round rim
smooth surface
spilled liquid
pouring stream
group cheers
cheerful gathering
circular pattern
bowl on table
amber hue
festive backdrop
clove garnish
cream swirl
sugar rim
warm glow
spilled drink
stirring stick
