canine companion
wagging tail
playful demeanor
sniffing ground
floppy ears
gentle expression
prancing gait
brown spots
white tail
bounding leap
curved back
chasing ball
keen eyes
long legs
snout shape
alert posture
muscular build
ruffled fur
black patches
short coat
curled tail
springy movements
wooded area
grass texture
dirty paws
stick retrieval
shiny collar
hunting ground
playful jump
bushy tail
jumpy stance
stealthy approach
wet nose
colorful leash
sharp claws
fresh scent
woodland edge
soft fur
open field
bright sunlight
rusty fence
tall grass
dusty road
muddy path
crisp leaves
leafy backdrop
wrinkled skin
overgrown brush
stone pathway
slender muzzle
