tail wagging
sniffing ground
long ears
white paws
spotted coat
jumping dog
soft gaze
floppy ears
interacting with owner
searching stance
wet nose
shaggy fur
happy expression
sunlit fur
running motion
golden sunlight
sandy path
open field
focused eyes
water splash
hiking trail
distant mountains
muddy paws
twitching nose
playful tail
wet fur
rusty collar
patchy fur
bark sound
alert stance
sliding paws
shaggy underbelly
dog bowl
scent trail
curly coat
leather leash
dappled shade
running in circles
grass clump
sandy shore
daisy flower
smiling face
water droplets
wooden fence
forest backdrop
orange sunset
lively demeanor
gentle nuzzle
fetching stick
running paws
