office drawer
document shelf
neat organized
archival box
scanned documents
indexed tabs
open binder
wireless printer
clip board
cork board
pen holder
stapled sheets
paper stack
binder rings
sticky notes
thumb drive
digital screen
label tag
rubber stamp
shredded paper
opaque folder
metal corner
horizontal orientation
vertical alignment
folded corner
satin finish
squared edges
cardboard backing
marked line
stacked pages
torn edge
glossy cover
color gradient
light shadow
plastic sleeve
spiral binding
textured surface
transparent overlay
pencil marking
ink smudge
metal clasp
crumpled paper
smooth finish
clip art
digital interface
clean layout
stacked layers
minimum aesthetic
rectangular shape
folded edges
