white plumage
beak open
grooming behavior
head down
protective stance
brown feathers
nest building
long neck
migratory path
uplifted wings
fluffy down
swimming motion
social group
quiet pond
orange bill
curved body
early morning
crooked path
water ripple
webbed feet
green grass
overcast sky
fuzzy goslings
migratory flock
wing flapping
head tilt
rounded tail
nesting ground
feeding frenzy
expanded wings
grazing posture
bushy reeds
soft underbelly
stony bank
water trail
reflective surface
urban park
earthy tones
colorful pond
muddy shoreline
summer bloom
grassy knoll
isolated silhouette
cloudy horizon
dappled sunlight
broad wings
dynamic stride
fuzzy feathers
calm pond
fluffy cheeks
