ripe apple
handful of apples
green skin
crisp bite
round shape
stalk attached
picking process
strong aroma
juicy flesh
bright color
bowl placement
fruit salad
kitchen countertop
glossy texture
dewy drops
dappled light
sliced pieces
leafy greens
tree branches
basket arrangement
sunlight shine
garden backdrop
lone fruit
green orchard
whole fruit
green packaging
smooth edge
tart flavor
autumn harvest
cradle hold
ordinary lunch
cool shade
crisp crunch
handheld snack
farmers market
picnic blanket
basket weave
sliced wedges
blossom petals
vintage crate
checkerboard cloth
pantry shelf
tea pairing
hiking trail
crisp applesauce
chopped fruit
bright zest
zesty glaze
smooth slice
green polka dots
