loyal expression
friendly bark
family pet
large paws
cuddly demeanor
tricolor markings
alert ears
short snout
dog collar
playful stance
white patch
broad shoulders
muscular build
curved tail
strong neck
obedient nature
gentle eyes
deep chest
fluffy coat
running motion
outdoor play
wide forehead
sleek body
grass field
pointed muzzle
dark markings
furry paws
playful leap
bright collar
wide stance
fixed gaze
heavy brow
long tongue
short legs
bushy tail
floppy ears
flat nose
thick undercoat
spotted coat
curved back
shiny coat
broad feet
thick limbs
open mouth
oval eyes
sandy path
dappled shade
rough texture
gentle giant
cheerful demeanor
