slithering motion
forked tongue
coiled body
scaly skin
twitching tail
sharp fangs
gentle curves
bright coloration
basked in sun
tropical foliage
elongated shape
quiet movement
hidden burrow
vibrant hue
camouflaged pattern
smooth texture
grass blades
underbrush shadows
tree branches
sunlight dappling
water reflection
rocky terrain
round pupils
shiny scales
light orange belly
twisted vine
soft ground
smooth underbelly
twisting path
pale shadows
thick roots
soft moss
dense ivy
wide leaves
dark crevice
hollow log
sunlit patch
sharp rocks
thin branches
bumpy texture
dull earth
muddy bank
faded bark
rough pebbles
bright flowers
cracked soil
twisted stem
climbing vine
cool shade
overhanging branch
