gallows setting
public execution
wooden frame
sharp blade
ancient prison
jagged edges
glistening metal
ominous presence
executive platform
grimy surface
fallen victim
leather straps
looming shadow
metallic shine
splintered wood
dim candlelight
crowd murmurs
rusty chains
tattered cloth
historical courtroom
faded parchment
blood stains
tightly wound rope
dark alleyway
crimson fabric
wooden base
dull blade
isolated structure
rugged platform
squared crossbar
sharp contrast
weathered beam
tensioned springs
straight edge
reflected light
heavy chains
clean cut
contrasting textures
dark backdrop
curved silhouette
faded paint
brushed surface
folded paper
rustic barn
frayed twine
cobblestone ground
silted earth
dense fog
cloudy sky
pointed weight
