cute squeaks
cuddly companion
playful nibbles
whisker twitch
chewy carrot
tiny paws
resting position
round ears
soft belly
hiding spot
small nose
curved back
happy demeanor
furry texture
short legs
fluffy coat
cozy blanket
wood shavings
bright eyes
sunlit corner
glass cage
grainy food
colorful bedding
gentle hands
green grass
short fur
fuzzy ears
peeking out
soft paws
sandy substrate
chew marks
seeking food
attention capture
natural habitat
cage bars
round body
smooth skin
narrow shoulders
multiple creatures
hay pile
dark eyes
slender tail
padded feet
large enclosure
small teeth
dim lighting
active movement
colorful toys
open space
gentle gaze
