heavily armored
cargo bed
metal chassis
dual tracks
load capacity
military camouflage
rough terrain
engine compartments
retrofitted design
obstacle navigation
front grille
suspension system
large headlights
treaded wheels
towing cables
track maintenance
dusty environment
dashboard controls
rearview mirrors
pilot seat
exhaust pipes
open cabin
mechanical joints
camouflaged vehicles
military ordnance
ground clearance
heavy load
tough exterior
battlefield scenario
vehicle mazes
machine wheels
off-road adventure
tread patterns
powerful stance
industrial design
sand tracks
canvas covering
suspension springs
rubber grips
robust framework
muddy terrain
metallic surfaces
desert environment
climbing incline
urban setting
gravel road
armored shell
combat ready
cylindrical turret
heavy equipment
