forked tongue
serpentine body
slithering motion
coiled form
scaly skin
reptilian gaze
raised neck
natural habitat
triangular head
tanned underbelly
golden eyes
dark stripes
captive environment
sunlit spot
defensive stance
dotted pattern
hooded posture
smooth texture
shaded grove
threat display
funnel shape
dark shadows
rocky terrain
leafy surroundings
cracked earth
tapered tail
slightly raised
textured scales
dark angularities
natural camouflage
regal posture
soft underbelly
sinuous shape
thin spine
wavy motion
wooden branch
curved silhouette
yellowish hue
earthy tones
sun-kissed skin
soil disturbance
evening glow
reflected light
dappled light
tufts of grass
melting shadows
leaf litter
sandy surface
splattered water
smooth scales
