industrial tool
glossy finish
heavy weight
heat treatment
cast shape
sharp blade
metallic sheen
powdered form
smooth texture
ornate handle
metal shavings
blacksmith forge
scorched residue
welded joint
wrought design
structural beam
corroded edges
cracked surface
cold frame
rusty surface
heavy duty
tool grip
polished edge
cutting edge
spark shower
metallic coil
grinding wheel
rough casting
shiny surface
mechanical parts
tooling mark
welded seams
oxidized layer
solid slab
metallic dust
support structure
reinforcement details
construction site
cooking pan
saucer magnet
candle holder
sculpture base
sword hilt
toolbox latch
shelf bracket
blacksmith anvil
bicycle frame
metal sign
car chassis
wine rack
