spooky atmosphere
wicked smile
orange skin
carved face
dark hollow
seasonal theme
toothy grin
creepy shadows
light contrast
deep grooves
glowing interior
symmetric shapes
nighttime setting
curved edges
playful design
autumn leaves
texture variations
twisted vines
intricate patterns
green stem
glistening moisture
wicked expression
crooked stem
fall harvest
spherical form
jagged cutouts
open flame
etched designs
bold shadows
cozy setting
glossy finish
flickering candles
woven basket
bright colors
burnt edges
smooth surface
painted patterns
wooden table
twisted rope
thick rind
earthy tones
rustic porch
green foliage
dim illumination
orange hue
triangular eyes
faint outline
round shape
irregular cuts
soft glow
