jungle habitat
alert eyes
bushy whiskers
spotted coat
hunting stance
feline ears
sharp claws
twisted tail
tanned underbelly
wet fur
thick limbs
camouflaged pattern
leaping form
quiet movement
strong bones
bright eyes
muscular build
powerful jaws
dense foliage
sunlit clearing
rocky terrain
gnarled roots
water puddle
vibrant sunset
grassy landscape
curved whiskers
sturdy paws
sunlit dappled
sprawled position
open savannah
mottled fur
furry tails
soft pads
twisted roots
golden flecks
frosted tips
wet ground
emerald leaves
sleek silhouette
rusty colors
shadowed underbrush
dark rosettes
thorny brambles
dense twigs
muddy footprints
sun-drenched rocks
overhanging vines
billowing grass
branching trees
spotted belly
