large claws
clawed pincers
aquatic predator
brittle exoskeleton
predator-prey interaction
molt shedding
caught in net
hard shell
smooth carapace
food scavenging
scuttling movement
ocean floor
red coloration
rocky habitat
nesting behavior
underwater camouflage
seaweed surroundings
group foraging
shallow waters
hidden crevices
grainy sand
antennae sensors
water reflection
submerged rocks
bright barnacles
benthic zone
shallow tidepool
sea floor debris
sharp spines
marine environment
muddy bottom
tangled kelp
fishing gear
thermocline layer
pale underside
curved body
iridescent shell
rusty metal
underwater shadows
green algae
jagged ridges
rough surface
light refraction
rock formations
horizontal stripes
wave patterns
crustacean habitat
scaly legs
broad pincers
deep blue
