curious gaze
long tail
natural habitat
playful posture
gentle expression
close interaction
thick fur
black face
swinging branches
climbing agility
soft muzzle
group behavior
curved limbs
bushy eyebrows
sunlit canopy
mixed brown
tree trunks
bright eyes
jumping motion
green foliage
swaying grass
leafy backdrop
twisted vines
hollow trees
limber body
wide stance
gentle breeze
sharp claws
cool shade
soft ground
twisted roots
dense underbrush
grainy bark
dappled light
curved spine
drooping leaves
silhouette outline
rough terrain
clear stream
smooth stones
rocky ledge
serene pond
rustic foliage
padded soles
cascading waterfall
sunset glow
twinkling stars
pitted surface
textured moss
curved tail
