long ovipositor
green wings
pollen collector
thin legs
small body
flight stance
fast reflexes
fuzzy abdomen
surface landing
sticky feet
curved antennae
iridescent sheen
leaf camouflage
plant habitat
active movement
brilliant pattern
bright colors
natural setting
veiny texture
soft edges
jumping motion
dense foliage
sunlit branches
short legs
flexible wings
thin antennae
natural camouflage
tiny eyes
clinging motion
dark spots
horizontal perch
angular profile
twisted posture
pointed mouthparts
round abdomen
colorful markings
bright highlights
rough edges
delicate veins
smooth surface
translucent texture
dappled light
bold stripes
secure grip
soft shadows
subtle gradients
distant branches
translucent wings
veined wings
clustered insects
