curious gaze
playful pose
twitching ears
feeding behavior
natural habitat
thin whiskers
brown fur
pale belly
curled tail
bushy eyebrows
tree branch
chubby cheeks
soft paws
jungle canopy
hanging upside down
swinging motion
long limbs
dark nostrils
agile movement
dense foliage
bright eyes
light underbelly
small hands
bark texture
perched position
bushy tail
wooden perch
gentle expression
short snout
fuzzy ears
thick fur
rounded ears
sharp claws
slender tail
pink skin
tiny fingers
smooth paws
brightly colored
small nose
climbing posture
open mouth
twisted limbs
subtle stripes
converging lines
dappled sunlight
tangled vines
forest shadows
wrinkled feet
furry neck
fluffy underside
