tail wagging
short legs
floppy ears
twitching nose
alert expression
carefree stance
sunken cheeks
soft paws
licking lips
tilted head
wide grin
low angle
uplifted tail
laid-back posture
dark eyes
comfortable resting
sleek body
exposed bones
smooth texture
curved spine
lean muscles
bright sunlight
patchy hair
wrinkled skin
playful demeanor
thin snout
resting stance
small stature
neutral expression
pale pigmentation
bony structure
tightly stretched skin
ground level
wiry fur
broad forehead
slender frame
subtle wrinkles
thin limbs
sunken eyes
prominent ribs
jagged collarbone
uneven texture
exposed joints
angular features
rough patches
indoor setting
sharp nails
curled lips
sandy surface
gentle demeanor
