playful gesture
natural habitat
scratching head
orange fur
swinging motion
climbing branches
long arms
high altitude
tree hollow
forest canopy
curved fingers
dark eyes
fruit gathering
thick lips
sunlight dappling
facial wrinkles
shaded ground
wide nostrils
soft texture
curly hair
tropical flowers
bamboo stalks
natural pose
watchful stance
upward gaze
serene expression
nesting area
swinging limbs
strong grip
broad shoulders
curved back
ragged edges
solitary figure
rough terrain
thick underbrush
gnarled roots
wooden platform
earthy tones
hanging moss
peeling bark
padded soles
dappled light
clear sky
dark shadows
broad face
dark muzzle
thick arms
active stance
rough skin
climbing posture
