locking mechanism
golden shackle
security feature
rusty hinge
safety chain
copper keyhole
security engraving
key insert
hardened steel
hanging loop
cylindrical body
tarnished surface
heavy-duty design
numbers dial
hollow cavity
metallic sheen
rectangular base
surface scratches
small footprint
brushed finish
safety latch
hook attachment
heavy weight
compact size
thick shank
robust frame
interlocking parts
protective coating
rounded edges
textured grip
industrial aesthetic
simplistic shape
metal texture
vintage look
reflective sheen
square profile
worn paint
subtle shine
asymmetrical design
colorful finish
intricate engraving
lock and key
secure closure
curved shackle
metal clasp
hanging on door
tarnished edge
rusty chain
garden gate
toolbox setting
