hand tool
vibration dampening
screwdriver bit
rubber grip
black casing
trigger switch
rotating motion
cylinder shape
depth gauge
safety lock
speed dial
battery compartment
light indicator
magnetic holder
workshop table
carrying case
ventilation holes
copper wires
drill bit
screwdriver tip
fastening screws
rotating head
gripped handle
dual-tone finish
cylindrical body
clamping mechanism
plastic components
power indicator
toolbox arrangement
battery latch
workbench setup
hexagonal shape
gauge markings
spiral design
bright color scheme
sawdust particles
mineral dust
construction site
metal surface
drill accessories
hand-screw interface
tool holder
handle grip
ergonomic design
torque adjustment
tool markings
angled head
safety features
mechanical joint
plastic finish
