dotted plumage
mating dance
small beak
foraging behavior
nesting site
predator awareness
bushy tail
feathered wings
rising sun
open grassland
colorful throat
long legs
crouched position
territorial display
sunlit prairie
vocal calls
earthy tones
sharp eyesight
shaded areas
seasonal changes
sparse vegetation
wavy grass
rocky outcrop
barren landscape
budding flowers
broad wings
elegant stance
dusty ground
bright eye
fluffy feathers
crowded flock
hidden burrow
gentle breeze
rustling leaves
soft underbelly
open expanse
curved crest
muddy trails
distant horizon
sandy soil
tall grasses
beaded neck
patchy field
faint tracks
glowing sunset
rustic fence
wildflower patch
meandering path
green foliage
cloudy sky
