document feeder
print head
printing speeds
scanner lid
ink cartridge
thermal print
toner level
auto duplex
output tray
textured casing
paper jam
loading paper
semi-gloss finish
clear plastic
control panel
usb port
cable connections
error light
busy indicator
paper path
wireless antenna
color buttons
front cover
compact design
ink level display
color display
output slot
sheet guide
power supply
modern shape
logo placement
cable management
triangular base
feed mechanism
flat surface
sleek body
smooth edges
frosted panel
light indicator
textured grip
side vents
control knobs
rubber feet
mechanical arms
printing action
compact size
full color
base support
partial view
glossy finish
