launching mechanism
aerodynamic shape
sharp point
fine detail
rigid structure
weighted base
dynamic motion
compact form
long tail
streamlined body
metal casing
circular opening
pointed tip
wooden shaft
reflective finish
flat head
hollow center
smooth surface
spiral grooves
jagged surface
colorful fins
glossy paint
thrust angle
broad base
impact zone
dusty shelf
slick finish
fins emerging
sloping angle
rubber tip
grimy surface
plunging arc
rounded dome
stable platform
blurry motion
feathered edge
concrete ground
textured grip
zigzag path
internal wiring
woven mesh
spiral pattern
smoky trail
worn leather
vibrant stripe
crumpled paper
explosive tip
impact force
heavy weight
pointed end
