satellite connection
circular base
white structure
large dish
dome shape
angled view
towering frame
scientific research
high-tech equipment
sky view
metal support
outdoor settings
reflective surface
wide aperture
night sky
cables hanging
seated operator
mountain backdrop
green hillside
telescope mount
secondary reflector
large radius
parabolic shape
data transmission
broadcast emission
stationary position
signal capture
circular opening
observation deck
spatial orientation
optical alignment
ground level
mesh surface
geared mechanism
electrical housing
support framework
reflective dish
control panel
metallic lattice
sunlight reflection
observational array
antenna arms
dome cover
circular panel
reflective coating
ground supports
oscillation arms
spherical joints
darkened exterior
internal circuitry
