bushy tail
pounce stance
foraging behavior
pointed ears
orange fur
natural habitat
scent marking
amber eyes
underbush camouflage
curved whiskers
muzzle shape
alert posture
dense brush
shaded glade
paw prints
furry texture
forest floor
white underbelly
dappled sunlight
sandy terrain
autumn leaves
sporadic movements
moonlit night
gnarled roots
sneaky glance
hiding spot
alert stance
crisp air
twilight colors
dense undergrowth
bright mushrooms
dappled shade
fresh tracks
grass blades
springleaf patterns
stony terrain
brush strokes
fallen logs
frosted tips
dry riverbed
mountain backdrop
vivid sunset
rippling water
swirling snow
twisted branches
cloudy sky
long bushy tail
curious head tilt
sharp claws
playful leap
