entertainment system
raised controls
motion control
serial port
thumb rest
circular joystick
user hand
plastic buttons
soft touch
light indicator
rubber grips
infrared signal
metal casing
labelled functions
battery compartment
pointing direction
irregular shape
colorful icons
reflective screen
slim profile
worn edges
textured surface
secondary buttons
wireless connectivity
reset button
compact design
tactile surface
circular pad
easy access
horizontal layout
plastic shell
contrast colors
sliding cover
even spacing
smooth finish
fingerprint smudge
grip texture
side grooves
slim body
decorative patterns
angular edges
simple silhouette
translucent section
compact size
soft buttons
sleek finish
led lights
cable management
grip pattern
dark contours
