reflective sheen
bushed out ends
smooth finish
delicate tendrils
natural bounce
dark coils
frizzed ends
soft texture
shiny loops
playful twists
golden tresses
afro puff
elegant ringlets
vibrant highlights
loose spirals
curled hair
bouncy locks
flowing cascade
gentle waves
voluminous updo
whimsical swirls
messy braid
gelled tips
shiny finish
silky strands
twisted accent
decorative clip
soft bounce
layered sections
ovoid shape
coiled strands
fabric ribbon
spiral structure
textured locks
hairpin twist
dramatic curve
framed face
light reflection
artistic updo
drying clips
curling iron
wavy silhouette
braided border
gentle arcs
shaped form
playful curve
focal point
circular motion
elegant bend
coiled design
