fiddler crab
crustacean features
shellfish predators
tide pool
hard shell
rocky habitat
ocean floor
clawed limbs
marine environment
natural hiding
colorful algae
wet surface
jagged edges
slippery stones
sharp rocks
sheltered crevice
muddy texture
seaweed backdrop
sandy beach
camouflage patterns
curved pincers
spiral shells
sunlit waves
scuttling movement
thin legs
deep blue
bright coral
muddy imprint
coastal detritus
rounded body
sand grains
dull colors
slippery slope
rock pile
brightly patterned
ocean spray
fissured surface
smooth pebbles
bumpy texture
ceramic glaze
overhanging ledge
surf foam
twisted shapes
green sea fan
color gradient
sunset reflection
dark shadows
barnacle cluster
colorful barnacles
rusty coral
