alarm system
safety latch
locked door
emergency exit
reinforced steel
siren light
wire mesh
security badge
padding around objects
safety helmet
first aid kit
fire extinguisher
barricaded window
safety barriers
high fence
anti-slip mats
bright warning signs
caution tape
traffic cones
reflective vests
closed drawer
secured latch
sealed container
protective covering
level ground
padded furniture
rounded edges
stable foundation
smooth surface
quiet room
strong clasp
calm environment
tranquil space
stable chair
supportive rail
gentle lighting
soft cushions
detached swing
serene painting
safety netting
cozy blanket
clear pathway
plush toys
wooden cabinet
deep drawer
heavy door
steel lock
secure clasp
round handle
stable platform
