visible scores
digital display
score line
sports arena
attached stand
top corner
game context
team logos
colored panels
chalk marks
referee signals
interactive touch
marker writing
number tiles
bright lights
reset button
plastic surface
wooden frame
metal screws
weathered wood
illuminated panel
defined borders
angled view
digital grid
nested elements
open space
simple frame
reflective glass
bending corners
bright neon
rounded edges
hard plastic
smooth surface
intersecting lines
painted wood
metal edges
dimensional layers
shadow play
colorful strips
sleek shape
geometric patterns
fabric draping
embedded circuitry
inner workings
vertical slats
multifaceted design
tactile buttons
fading color
metal brackets
glossy finish
